open_time,open,high,low,close,volume,amount,close_time
1727712000000,63561.4200000000000000000000000000,63616.0300000000000000000000000000,63528.0000000000000000000000000000,63574.0100000000000000000000000000,68.65102000,4363841.130000000000000000,1727712300000
1727712300000,63574.0100000000000000000000000000,63673.3700000000000000000000000000,63535.9900000000000000000000000000,63601.6800000000000000000000000000,54.25646400,3451125.320000000000000000,1727712600000
1727712600000,63601.6800000000000000000000000000,63680.0800000000000000000000000000,63556.0000000000000000000000000000,63642.7800000000000000000000000000,51.41661800,3271379.460000000000000000,1727712900000
1727712900000,63642.7800000000000000000000000000,63732.0000000000000000000000000000,63640.0000000000000000000000000000,63662.5600000000000000000000000000,50.01663600,3185299.570000000000000000,1727713200000
1727713200000,63662.5600000000000000000000000000,63700.0100000000000000000000000000,63619.9000000000000000000000000000,63638.3500000000000000000000000000,41.24123800,2624694.030000000000000000,1727713500000
1727713500000,63638.3500000000000000000000000000,63683.8300000000000000000000000000,63629.9900000000000000000000000000,63630.0000000000000000000000000000,61.02946400,3884901.250000000000000000,1727713800000
1727713800000,63630.0000000000000000000000000000,63638.0000000000000000000000000000,63540.1800000000000000000000000000,63564.0000000000000000000000000000,45.42522600,2888080.140000000000000000,1727714100000
1727714100000,63564.0000000000000000000000000000,63648.0000000000000000000000000000,63529.9900000000000000000000000000,63530.0000000000000000000000000000,46.89148500,2982421.650000000000000000,1727714400000
1727714400000,63530.0000000000000000000000000000,63530.0100000000000000000000000000,63462.6100000000000000000000000000,63525.7500000000000000000000000000,41.19648600,2616202.300000000000000000,1727714700000
1727714700000,63525.7500000000000000000000000000,63586.0000000000000000000000000000,63502.6700000000000000000000000000,63578.7900000000000000000000000000,45.54234600,2893857.250000000000000000,1727715000000
1727715000000,63578.7900000000000000000000000000,63615.9800000000000000000000000000,63474.0000000000000000000000000000,63492.4500000000000000000000000000,50.79280100,3227043.950000000000000000,1727715300000
1727715300000,63492.4500000000000000000000000000,63520.0800000000000000000000000000,63472.0000000000000000000000000000,63486.9800000000000000000000000000,46.75164900,2968496.250000000000000000,1727715600000
1727715600000,63486.9700000000000000000000000000,63559.5600000000000000000000000000,63473.5700000000000000000000000000,63493.9600000000000000000000000000,54.81146600,3481185.810000000000000000,1727715900000
1727715900000,63493.9600000000000000000000000000,63529.9800000000000000000000000000,63430.0000000000000000000000000000,63430.0100000000000000000000000000,50.57688700,3210575.330000000000000000,1727716200000
1727716200000,63430.0100000000000000000000000000,63506.0000000000000000000000000000,63416.1300000000000000000000000000,63456.0100000000000000000000000000,71.99240400,4567735.860000000000000000,1727716500000
1727716500000,63456.0100000000000000000000000000,63617.4400000000000000000000000000,63440.6800000000000000000000000000,63570.0000000000000000000000000000,75.37141400,4787359.750000000000000000,1727716800000
1727716800000,63570.0000000000000000000000000000,63670.2800000000000000000000000000,63569.9900000000000000000000000000,63612.0000000000000000000000000000,57.45749500,3655438.450000000000000000,1727717100000
1727717100000,63612.0000000000000000000000000000,63626.6100000000000000000000000000,63463.9100000000000000000000000000,63463.9100000000000000000000000000,41.59841800,2644216.300000000000000000,1727717400000
1727717400000,63463.9100000000000000000000000000,63510.0000000000000000000000000000,63375.7400000000000000000000000000,63439.5600000000000000000000000000,63.05711600,4000175.660000000000000000,1727717700000
1727717700000,63439.5600000000000000000000000000,63612.0100000000000000000000000000,63429.9600000000000000000000000000,63600.0000000000000000000000000000,68.45030900,4347032.860000000000000000,1727718000000
1727718000000,63600.0000000000000000000000000000,63665.0200000000000000000000000000,63567.9300000000000000000000000000,63663.0100000000000000000000000000,90.57635900,5762952.660000000000000000,1727718300000
1727718300000,63663.0100000000000000000000000000,63685.7200000000000000000000000000,63574.8600000000000000000000000000,63614.2500000000000000000000000000,56.71091300,3608678.780000000000000000,1727718600000
